Question,A,B,C,D,RightAnswer,QuesionType,Link,DificultyLevel
A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,120 metres,180 metres,324 metres,150 metres,D,Text,-,1
A train 125 m long passes a man| running at 5 km/hr in the same direction in which the train is going| in 10 seconds. The speed of the train is:,45 km/hr,50 km/hr,54 km/hr,55 km/hr,B,Video,-,3
The length of the bridge| which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds| is:,200 m,225 m,245 m,250 m,C,Audio,-,5
Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:,1 : 3,3 : 2,3 : 4,None of these,B,Text,-,1
A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr| what is the length of the platform?,120 m,240 m,300 m,None of these,B,Text,-,3
Can You Name This Prehistoric Program?,The Simpsons,The Flintstones,The Jetson,Family Guy,B,Image,https://static1.thequizimages.com/wordpress/wp-content/uploads/2017/08/Flintstones.jpg?q=50&fit=crop&w=963&h=481,1
Can You Name This Series In A Galaxy Far, Far Away?Star Wars Rebels,Star Wars: Forces of Destiny,Star Wars: The Clone Wars,Star Wars: Attack of the Clones,C,Image,https://static1.thequizimages.com/wordpress/wp-content/uploads/2017/08/yoda-clone-wars-star-wars-tv-show.jpg?q=50&fit=crop&w=963&h=481,3
Can You Name This Mystery Series?,Cow & Chicken,Johnny BravoScooby-Doo.. Where Are You!,The Super Friends,None,C,Image,https://static0.thequizimages.com/wordpress/wp-content/uploads/2017/08/Fred-Daphne-Velma-and-Shaggy-in-Scooby-Doo-cartoon.jpg?q=50&fit=crop&w=450&h=225,5
Can You Name This Alien Powered Program?,Teen Titans,Ben 10,Ren & Stimpy,Rick and MortyB,B,Image,https://static1.thequizimages.com/wordpress/wp-content/uploads/2017/08/maxresdefault-90.jpg?q=50&fit=crop&w=450&h=225,1
Can You Name This Teen Superhero Series?,Ben 10,Justice League,Teen Titans,Justice League Unlimited,C,Image,https://static3.thequizimages.com/wordpress/wp-content/uploads/2017/08/teen-titans-robin-cartoon-network.jpg?q=50&fit=crop&w=450&h=225,1
